iter	Logloss
0	0.6575535037
1	0.6269177796
2	0.6015092911
3	0.5782824403
4	0.5593572624
5	0.5440565797
6	0.5299791921
7	0.5179998221
8	0.5076994676
9	0.4986494578
10	0.4911397801
11	0.482884478
12	0.4762781675
13	0.4689524904
14	0.4632645994
15	0.4579797569
16	0.4542088351
17	0.4504079795
18	0.4462938575
19	0.4419544891
20	0.4379697783
21	0.4348998455
22	0.4317237611
23	0.4291313387
24	0.4266279313
25	0.4242177824
26	0.4221856356
27	0.4201765299
28	0.4186406869
29	0.4167732133
30	0.4148413349
31	0.4131291169
32	0.4121184542
33	0.410533787
34	0.4096791767
35	0.4085109183
36	0.407643561
37	0.4072956467
38	0.4061859652
39	0.4054734659
40	0.4045856342
41	0.4043887318
42	0.4041409938
43	0.4035449813
44	0.402727644
45	0.402441528
46	0.4019490309
47	0.4013451777
48	0.4005393142
49	0.4004266198
50	0.4001394793
51	0.3992308385
52	0.3984708194
53	0.398354882
54	0.3979619791
55	0.3974229487
56	0.3968982449
57	0.3967146092
58	0.3962227045
59	0.3959427919
60	0.39560374
61	0.3951824114
62	0.3951788898
63	0.3951770516
64	0.394773372
65	0.3947047579
66	0.3942038544
67	0.3942018441
68	0.3936891015
69	0.3936889557
70	0.3935301061
71	0.3932626952
72	0.393259262
73	0.3931553059
74	0.3931048102
75	0.392717026
76	0.3926034265
77	0.3923833767
78	0.3923799983
79	0.3923330604
80	0.3921866209
81	0.3921837974
82	0.3921569259
83	0.3921321917
84	0.3920967908
85	0.3920338909
86	0.3920300413
87	0.3920251675
88	0.3919804007
89	0.3916836327
90	0.391506764
91	0.3914528382
92	0.3912958914
93	0.3912370802
94	0.3911091625
95	0.391041122
96	0.3908428875
97	0.3907182036
98	0.3907160485
99	0.3905803596
