iter	Passed	Remaining
0	11	1143
1	22	1099
2	34	1100
3	44	1066
4	56	1077
5	68	1070
6	79	1052
7	89	1033
8	100	1015
9	112	1010
10	122	993
11	135	993
12	147	987
13	159	977
14	170	966
15	180	947
16	186	908
17	192	876
18	204	870
19	217	868
20	229	862
21	240	853
22	253	848
23	266	843
24	278	836
25	290	826
26	301	815
27	313	807
28	320	783
29	331	774
30	343	764
31	356	757
32	363	737
33	375	728
34	384	714
35	396	704
36	407	693
37	412	673
38	424	663
39	434	651
40	445	640
41	448	619
42	460	610
43	472	600
44	484	592
45	495	582
46	508	573
47	520	564
48	534	555
49	544	544
50	557	535
51	570	526
52	583	517
53	590	503
54	602	493
55	644	506
56	657	495
57	670	485
58	683	474
59	696	464
60	706	451
61	719	441
62	731	429
63	739	416
64	752	405
65	773	398
66	786	387
67	790	372
68	802	360
69	808	346
70	812	331
71	826	321
72	836	309
73	850	298
74	858	286
75	871	275
76	883	263
77	895	252
78	899	239
79	905	226
80	916	215
81	924	203
82	937	192
83	947	180
84	960	169
85	974	158
86	982	146
87	992	135
88	997	123
89	1007	111
90	1018	100
91	1030	89
92	1038	78
93	1050	67
94	1062	55
95	1074	44
96	1086	33
97	1097	22
98	1110	11
99	1122	0
